caldt,mkt,ewmkt
1926-09-18,0.00696211,0.00586195
1926-09-20,-0.00617629,-0.00757982
1926-09-21,0.00306746,0.00228456
1926-09-22,-0.00113759,-0.000968048
1926-09-23,0.00261362,0.00187391
1926-09-24,0.00630722,0.00574431
1926-09-25,0.0022278,0.00186475
1926-09-27,-0.00120472,-0.000675449
1926-09-28,2.13517e-05,-0.00101548
1926-09-29,-0.00289962,-0.00163941
1926-09-30,0.00307686,0.00333921
1926-10-01,0.00740388,0.00381981
1926-10-02,-0.000920509,0.00162872
1926-10-04,-0.0137217,-0.0140042
1926-10-05,-0.0109242,-0.0104817
1926-10-06,-0.00559673,-0.0109734
1926-10-07,-0.00734482,-0.0033427
1926-10-08,0.00598362,0.00673023
1926-10-09,-0.0092032,-0.00600308
1926-10-11,-0.00671252,-0.00800738
1926-10-13,0.00695349,0.00459417
1926-10-14,0.00973269,0.00726565
1926-10-15,-0.0179618,-0.0164892
1926-10-16,-0.0071168,-0.00806824
1926-10-18,0.00692982,0.00791946
1926-10-19,-0.0100992,-0.0101011
1926-10-20,-0.00242256,-0.00815097
1926-10-21,0.0152383,0.0157152
1926-10-22,-0.00386912,0.000125832
1926-10-23,0.00556726,0.00907193
1926-10-25,-0.000788379,-0.000904225
1926-10-26,0.00331644,0.0048235
1926-10-27,0.0100608,0.00747529
1926-10-28,-0.000702156,0.000708099
1926-10-29,-0.000452692,0.000681665
1926-10-30,-0.0023348,-0.000668722
1926-11-01,0.00469332,0.00405313
1926-11-03,0.0019428,0.00100177
1926-11-04,0.00603643,0.0080825
1926-11-05,0.00083747,-0.000182026
1926-11-06,0.00171812,0.000935386
1926-11-08,0.00526994,0.00334265
1926-11-09,0.00137441,0.00227198
1926-11-10,-0.00586042,-0.00484334
1926-11-11,0.006825,0.00857479
1926-11-12,0.00247981,0.00196962
1926-11-13,-0.00218239,-0.00189335
1926-11-15,0.00377239,0.0034205
1926-11-16,0.00156134,0.00190023
1926-11-17,-0.00333231,-0.00396897
1926-11-18,-0.00456842,-0.00398405
1926-11-19,-0.00634329,-0.00191732
1926-11-20,0.00403722,0.00468382
1926-11-22,0.0056943,0.00402298
1926-11-23,0.00345271,0.00410947
1926-11-24,0.000946558,0.000457798
1926-11-26,0.00235435,0.00207901
1926-11-27,-0.00137495,-0.00198053
1926-11-29,-0.00344773,-0.00378024
1926-11-30,0.00284273,0.0031981
1926-12-01,0.00362438,0.00405632
1926-12-02,0.0050667,0.00397662
1926-12-03,0.00315823,0.00459294
1926-12-04,-0.00153631,0.00150458
1926-12-06,0.000454096,-0.0018548
1926-12-07,-0.00022202,0.00387589
1926-12-08,-0.000791354,-0.000260404
1926-12-09,0.00439538,0.00437512
1926-12-10,0.00372368,0.00563238
1926-12-11,0.00105434,0.0022238
1926-12-13,0.00423957,0.00583926
1926-12-14,0.00111291,0.0017951
1926-12-15,0.00206922,0.00245457
1926-12-16,-0.0059969,-0.00724147
1926-12-17,0.00908766,0.00539918
1926-12-18,0.00426101,0.00381329
1926-12-20,-0.00270848,-0.00134386
1926-12-21,-0.000231343,-0.00142848
1926-12-22,0.00012785,-0.00248455
1926-12-23,0.00303746,0.00225847
1926-12-24,0.00307247,0.00343977
1926-12-27,-0.00192485,-0.00305509
1926-12-28,-0.0107932,-0.0139655
1926-12-29,0.00459664,0.00476838
1926-12-30,-0.00340165,-0.00017916
1926-12-31,0.00347345,0.00773601
1927-01-03,-0.00779208,-0.00299241
1927-01-04,0.00306889,0.00495135
1927-01-05,0.00156128,0.00355482
1927-01-06,-0.00154498,-0.000952607
1927-01-07,0.00334373,0.00296596
1927-01-08,0.00393559,0.00656472
1927-01-10,0.00157489,0.00300095
1927-01-11,-0.00279632,-0.00196261
1927-01-12,0.000816649,-9.47162e-05
1927-01-13,-0.000336166,0.000672758
1927-01-14,0.00048179,-0.00156107
1927-01-15,0.00151685,0.00515091
1927-01-17,-0.000383721,-0.000899486
1927-01-18,-0.000510136,0.000385
1927-01-19,0.00598606,0.00436001
1927-01-20,-0.00156366,-0.00216698
1927-01-21,-2.73077e-05,0.0043939
1927-01-22,-0.00345313,-0.0028019
1927-01-24,-0.00460952,-0.00216584
1927-01-25,-0.0105755,-0.014096
1927-01-26,0.0021108,0.00247468
1927-01-27,-0.00350498,-0.00462235
1927-01-28,0.00168563,0.00412296
1927-01-29,0.00738365,0.00554626
1927-01-31,0.00652156,0.00630741
1927-02-01,-7.67837e-05,0.00340429
1927-02-02,0.00752216,0.00949719
1927-02-03,0.00198059,0.00131258
1927-02-04,0.00360093,0.00377796
1927-02-05,-0.00177217,0.000549
1927-02-07,-0.0012828,0.000913624
1927-02-08,0.0010423,0.00400554
1927-02-09,0.000410739,-0.00221345
1927-02-10,0.00107723,0.00692743
1927-02-11,0.00315808,0.00439605
1927-02-14,0.00490873,0.00590417
1927-02-15,0.00115661,0.00195177
1927-02-16,0.000231194,0.00233715
1927-02-17,0.00328697,0.00365391
1927-02-18,0.00303852,0.000841743
1927-02-19,8.73272e-05,0.00136729
1927-02-21,-0.00148231,-0.000520334
1927-02-23,0.00726744,0.00772677
1927-02-24,0.00148365,0.00119829
1927-02-25,0.00233636,0.00386493
1927-02-26,0.000732762,0.000499297
1927-02-28,0.00586334,0.00516891
1927-03-01,-0.00364796,-0.00630153
1927-03-02,-0.0114215,-0.0108097
1927-03-03,0.0102887,0.00646749
1927-03-04,-0.00449082,-0.00181584
1927-03-05,-0.00230806,-0.000712511
1927-03-07,-0.0036207,-0.00522391
1927-03-08,0.00129128,-0.00305141
1927-03-09,0.00505524,0.00559313
1927-03-10,0.00460744,0.00441682
1927-03-11,0.00166925,0.00360116
1927-03-12,-0.000183259,0.00278684
1927-03-14,0.00181577,-0.00171296
1927-03-15,-0.00782793,-0.00934733
1927-03-16,0.0101395,0.00341453
1927-03-17,0.00414695,0.00246549
1927-03-18,-0.00778609,-0.00837529
1927-03-19,0.000420091,0.00261238
1927-03-21,0.00181183,-0.00206121
1927-03-22,-0.0102819,-0.0101531
1927-03-23,0.00201361,0.00168798
1927-03-24,0.00678312,0.00725532
1927-03-25,0.00177446,0.0030526
1927-03-26,0.0033874,0.00201455
1927-03-28,0.00525722,0.00596902
1927-03-29,-0.00218268,-0.00410372
1927-03-30,-0.00582804,-0.00420058
1927-03-31,0.00317436,0.00161603
1927-04-01,-0.0005795,-0.00210394
1927-04-02,-0.000789739,-7.2176e-05
1927-04-04,0.00533023,0.00594154
1927-04-05,0.00597967,0.00356377
1927-04-06,0.00114479,0.00239468
1927-04-07,0.00255737,-7.9232e-05
1927-04-08,0.00335481,0.00531365
1927-04-09,0.00042488,0.000782413
1927-04-11,0.00212457,0.00474384
1927-04-12,-0.00272977,0.000970504
1927-04-13,0.00205154,0.00169683
1927-04-14,0.000939937,0.0042116
1927-04-16,0.00199782,0.00476271
1927-04-18,-0.000288091,0.000709433
1927-04-19,0.00178156,0.00127304
1927-04-20,0.00275033,0.00377342
1927-04-21,0.00379534,-7.39617e-05
1927-04-22,0.000967565,-0.00266468
1927-04-23,-0.00351108,-0.00123716
1927-04-25,-0.0155183,-0.0143565
1927-04-26,0.00601869,0.00371545
1927-04-27,-0.00378095,-0.00565917
1927-04-28,-0.0108682,-0.00999498
1927-04-29,0.00474854,0.00551489
1927-04-30,-4.37422e-05,0.00147751
1927-05-02,0.00276353,0.00548812
1927-05-03,0.00751737,0.00927708
1927-05-04,0.00772743,0.00771519
1927-05-05,0.00308073,0.00300337
1927-05-06,0.00288866,0.00296767
1927-05-07,0.00302128,0.00283616
1927-05-09,0.00201566,0.00353407
1927-05-10,-0.00073048,-0.00236313
1927-05-11,-0.00122612,0.000645073
1927-05-12,-0.00100818,-0.00339763
1927-05-13,0.00506004,0.0040845
1927-05-14,0.00034354,0.00109284
1927-05-16,-0.00702031,-0.00481424
1927-05-17,0.0047098,0.00408924
1927-05-18,0.00511102,0.00250815
1927-05-19,0.00193678,0.000424631
1927-05-20,0.00477816,0.00337465
1927-05-21,0.0025835,0.0057041
1927-05-23,0.00181433,0.00322777
1927-05-24,-0.00135893,0.000139265
1927-05-25,0.00170779,0.00301115
1927-05-26,0.00147882,0.00176058
1927-05-27,0.00452817,0.00910659
1927-05-28,0.00148288,0.000768871
1927-05-31,0.00261831,3.59356e-05
1927-06-01,0.00339016,0.00271755
1927-06-02,0.000788625,0.00178946
1927-06-03,-0.00889239,-0.00906984
1927-06-04,0.00461911,0.00462864
1927-06-06,0.00505619,0.00526253
1927-06-07,-0.00239241,0.000496755
1927-06-08,0.00278301,0.00317264
1927-06-09,0.000290415,0.00245488
1927-06-10,-0.00390703,-0.00435258
1927-06-11,-0.000961974,-0.00131429
1927-06-14,-0.0149705,-0.0144082
1927-06-15,0.00912089,0.0110939
1927-06-16,0.00630539,0.0043169
1927-06-17,0.0016673,0.00661179
1927-06-18,-0.00116677,0.00183101
1927-06-20,-0.00184282,-0.00352468
1927-06-21,-0.00349103,-0.000406989
1927-06-22,0.000197404,0.00135866
1927-06-23,-0.00854364,-0.0103309
1927-06-24,0.0014497,0.00178978
1927-06-25,-0.000890131,-0.000994421
1927-06-27,-0.0120484,-0.0152885
1927-06-28,0.00263336,0.000820167
1927-06-29,0.000252477,0.000316465
1927-06-30,-0.000871751,-0.00142879
